160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,164,760,20,84.5,1541,43,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,165,820,12,67.8,1583,44,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,166,820,15,75.1,1595,44,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,167,820,18,83.1,1609,45,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,168,820,20,89,1621,45,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,169,880,12,71.5,1663,46,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,170,880,15,79.1,1674,47,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,171,880,18,87.4,1689,47,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,172,880,20,93.5,1700,47,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,173,940,12,75.2,1742,48,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,174,940,15,83.1,1754,49,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,175,940,18,91.8,1768,49,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,176,940,20,98,1779,49,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,177,1000,12,79,1821,51,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,178,1000,15,87.1,1833,51,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,179,1000,18,96.1,1847,51,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,180,1000,20,102.6,1858,52,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,181,1060,12,82.7,1900,53,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,182,1060,15,91.2,1911,53,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,183,1060,18,100.5,1925,53,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,184,1060,20,107.2,1936,54,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,185,1120,12,86.5,1979,55,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,186,1120,15,95.3,1990,55,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,187,1120,18,104.9,2003,56,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,188,1120,20,111.8,2014,56,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,189,1180,12,90.3,2057,57,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,190,1180,15,99.4,2068,57,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,191,1180,18,109.3,2081,58,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,192,1180,20,116.4,2092,58,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,193,1240,12,94.1,2135,59,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,194,1240,15,103.5,2145,60,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,195,1240,18,113.8,2159,60,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,196,1240,20,121,2169,60,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,197,1300,12,98,2212,61,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,198,1300,15,107.7,2223,62,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,199,1300,18,118.2,2236,62,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,200,1300,20,125.7,2246,62,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
RC1 (Low),201,542.8,5,17.8,1031,29,31,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,202,940,5,27.1,1540,43,31,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,203,1340.2,5,37.6,2049,57,31,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,204,1743.5,5,49.2,2559,71,31,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,205,2149.7,5,62,3068,85,31,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,206,2641.1,5,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
,207,463.5,9,29.5,1029,29,53,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,208,863.9,9,43.8,1538,43,53,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,209,1267.4,9,59.2,2048,57,53,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,210,1673.9,9,75.8,2557,71,53,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,211,2083.3,9,93.6,3067,85,53,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,212,2578.6,9,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
,213,407.2,12,38.4,1028,29,69,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,214,810.1,12,56.4,1538,43,69,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,215,1216,12,75.6,2047,57,69,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,216,1624.9,12,95.9,2557,71,69,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,217,2036.7,12,117.4,3066,85,69,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,218,2535,12,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
,219,353.7,15,47.4,1027,29,86,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,220,759,15,69.2,1537,43,86,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,221,1167.3,15,92.1,2046,57,86,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,222,1578.6,15,116.1,2556,71,86,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,223,1992.9,15,141.3,3064,85,86,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL)
,224,2494,15,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
RC2 (Low),225,509,5,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,226,893.2,5,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,227,1284.3,5,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,228,1682.4,5,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,229,2087.3,5,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,230,2582.4,5,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
,231,471.8,9,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,232,856.4,9,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,233,1247.9,9,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
